DATE,SMU29281409093000001SA
2005-07-01,101.471375658346
2005-08-01,99.3614278675535
2005-09-01,99.8953268918215
2005-10-01,100.286341179226
2005-11-01,100.386199163655
2005-12-01,100.742871726128
2006-01-01,100.894603221624
2006-02-01,101.50440446291
2006-03-01,101.241533004239
2006-04-01,100.59445180914699
2006-05-01,101.162430015753
2006-06-01,100.351595402272
2006-07-01,100.519091681216
2006-08-01,99.9562013606246
2006-09-01,103.792288374752
2006-10-01,103.80811742028799
2006-11-01,103.822685681002
2006-12-01,103.78631833092399
2007-01-01,103.67504768518101
2007-02-01,104.239125034281
2007-03-01,104.354925020898
2007-04-01,105.194477606238
2007-05-01,104.70215681682
2007-06-01,105.948721988239
2007-07-01,109.556654267777
2007-08-01,109.828609279697
2007-09-01,106.448586642007
2007-10-01,106.811952127379
2007-11-01,106.982246878713
2007-12-01,106.347959346616
2008-01-01,106.917145463519
2008-02-01,106.829712893556
2008-03-01,107.26627701631399
2008-04-01,107.002159625926
2008-05-01,107.211978648871
2008-06-01,107.43339020050699
2008-07-01,108.110972433008
2008-08-01,109.937965862458
2008-09-01,107.92675868412901
2008-10-01,108.434865037486
2008-11-01,108.187539175341
2008-12-01,108.573381953921
2009-01-01,108.977299289651
2009-02-01,108.661680135335
2009-03-01,108.240065502596
2009-04-01,108.318085385905
2009-05-01,109.053092808623
2009-06-01,108.364260615271
2009-07-01,108.473291613918
2009-08-01,108.97101839141001
2009-09-01,108.016576619916
2009-10-01,107.865261077929
2009-11-01,107.65851404633699
2009-12-01,107.60370276230199
2010-01-01,106.76490471980499
2010-02-01,106.67913170848
2010-03-01,106.61660862451299
2010-04-01,106.647352314499
2010-05-01,106.540422306401
2010-06-01,107.31909866718901
2010-07-01,101.26765700746799
2010-08-01,101.642322049613
2010-09-01,105.107774034767
2010-10-01,104.613920841064
2010-11-01,104.63558143231701
2010-12-01,104.34973964740801
2011-01-01,104.471337999917
2011-02-01,103.994559529559
2011-03-01,104.297755855198
2011-04-01,104.333569984153
2011-05-01,103.86798379755899
2011-06-01,103.646156525842
2011-07-01,104.03293806754101
2011-08-01,103.147103119422
2011-09-01,103.305278153807
2011-10-01,103.548083646103
2011-11-01,103.48158939726801
2011-12-01,103.63832542370199
2012-01-01,103.665399294953
2012-02-01,103.87311607895799
2012-03-01,103.866320576535
2012-04-01,103.461411144246
2012-05-01,104.080753926939
2012-06-01,103.196749402183
2012-07-01,102.597562559355
2012-08-01,106.85803402499201
2012-09-01,103.23208951376199
2012-10-01,104.31059957336399
2012-11-01,103.96242385544501
2012-12-01,104.090089393039
2013-01-01,103.482902879946
2013-02-01,103.633841513866
2013-03-01,103.38588655525601
2013-04-01,104.15707879080401
2013-05-01,104.067048617267
2013-06-01,104.066235383685
2013-07-01,102.750889759676
2013-08-01,104.113045621857
2013-09-01,104.814371511849
2013-10-01,103.747292272308
2013-11-01,103.41776060801
2013-12-01,103.63015359113399
2014-01-01,102.928569500536
2014-02-01,103.05429938306101
2014-03-01,103.11446295545099
2014-04-01,103.031884461049
2014-05-01,103.84242570975599
2014-06-01,103.943364165086
2014-07-01,103.91628948117001
2014-08-01,103.043021374294
2014-09-01,104.18424036634701
2014-10-01,103.932390210025
2014-11-01,103.96676519618299
2014-12-01,103.721992541091
2015-01-01,104.336705367133
2015-02-01,104.311085282881
2015-03-01,104.609737743664
2015-04-01,104.274864392365
2015-05-01,104.07268413911301
2015-06-01,103.966076313577
2015-07-01,103.709522415546
2015-08-01,103.98754248075599
2015-09-01,104.47351639656799
2015-10-01,104.573547275329
2015-11-01,104.609823022922
2015-12-01,104.39557021912
2016-01-01,104.797744351924
2016-02-01,104.641965171072
2016-03-01,104.476662119952
2016-04-01,105.134469651439
2016-05-01,104.213200022414
2016-06-01,104.076352241425
2016-07-01,103.971147345565
2016-08-01,104.435778918979
2016-09-01,105.103220714622
2016-10-01,105.094084529325
2016-11-01,104.94731730679199
2016-12-01,104.892368008215
2017-01-01,105.190112152782
2017-02-01,105.19796150068301
2017-03-01,105.44570933541999
2017-04-01,105.390992596243
2017-05-01,104.81856682236601
2017-06-01,105.800918804457
2017-07-01,106.23241315867399
2017-08-01,106.940942739174
2017-09-01,105.65665687927
2017-10-01,105.530872579991
2017-11-01,105.688655002939
2017-12-01,105.260599777891
2018-01-01,105.708685677799
2018-02-01,105.860237614895
2018-03-01,106.22703991959801
2018-04-01,104.257403727449
2018-05-01,104.19105498079901
2018-06-01,104.428203056439
2018-07-01,103.961729436648
2018-08-01,104.13621571260599
2018-09-01,104.00630119262699
2018-10-01,104.215757553736
2018-11-01,104.442955621812
2018-12-01,104.623879167096
2019-01-01,103.997718839393
2019-02-01,104.429659110144
2019-03-01,104.75151728505301
2019-04-01,105.084570513186
2019-05-01,105.119752217658
2019-06-01,105.279462414631
2019-07-01,103.753624403617
2019-08-01,104.762862826494
2019-09-01,105.21109403157699
2019-10-01,105.406417078289
2019-11-01,105.272999783803
2019-12-01,105.73872983207701
2020-01-01,105.957208145305
2020-02-01,105.80892071948999
2020-03-01,105.918806275274
2020-04-01,101.31917466718399
2020-05-01,97.621750509797
2020-06-01,99.2303369490332
2020-07-01,101.848428493796
2020-08-01,104.758913495936
2020-09-01,100.20511648333701
2020-10-01,101.14981759067899
2020-11-01,101.23887067485701
2020-12-01,101.505344788709
2021-01-01,101.54342641224702
2021-02-01,101.370284922807
2021-03-01,101.63853254348801
2021-04-01,102.278240491531
2021-05-01,102.273578276735
2021-06-01,101.95641687310801
2021-07-01,102.686815993302
2021-08-01,104.66726409690901
2021-09-01,102.022560246339
2021-10-01,102.09851477805701
2021-11-01,102.01175053826799
2021-12-01,101.80869686918899
2022-01-01,101.816864063262
2022-02-01,101.941829400246
2022-03-01,101.73822814105499
2022-04-01,101.117545858477
2022-05-01,101.104719824023
